gloss	type	class_	ok	change_to	explanation
wrong	lexical	adjective			
peace	lexical	noun			
listen	lexical	verb			
where	lexical	interrogative			
dangerous	lexical	adjective			
cover	lexical	verb	0	close	poor choice of gloss in Russian
fuck	lexical	verb			
normal	lexical	adjective			
do	lexical	verb			
certain	lexical	adjective			
bullshit	lexical	noun			
beg	lexical	verb			
need	lexical	noun			
cannot	grammatical	verb	0	proh.pred	was used in Russian for neljzja
excess	lexical	noun			
possibility	lexical	noun			
dispute	lexical	noun			
nohow	lexical	quantor			
now	lexical	adverb			
from_now_on	lexical	adverb			
tharefore	lexical	conjunction	0	therefore	typo
method	lexical	noun			
whole	lexical	adjective			
mean	lexical	verb			
pay_attention	lexical	verb			
before	lexical	preposition			
difficult	lexical	adjective			
day	lexical	noun			
agreeing	lexical	None	0	agreement	-
honor	lexical	noun			
luck	lexical	noun			
theory	lexical	noun			
easy	lexical	adjective			
problem	lexical	noun			
joy	lexical	noun			
himself	lexical	pronoun			
forbid	lexical	verb			
stop	lexical	verb			
close	lexical	verb			
wise	lexical	adjective			
flatter	lexical	verb			
shit	lexical	noun			
reason	lexical	noun			
roll	lexical	verb			
mother	lexical	noun			
mislead	lexical	verb			
little	lexical	adjective			
avoir	lexical	verb	0	have	glosses should be in English
give	lexical	verb			
sound	lexical	verb			
speech	lexical	noun			
if	lexical	conjunction			
corpse	lexical	noun			
treasure	lexical	noun			
exactly	lexical	adverb			
vbz	grammatical	word_formation	1		verbalizer
add	lexical	verb			
word	lexical	noun			
possible	lexical	adjective			
world	lexical	noun			
well	lexical	adverb			
the	grammatical	definiteness	0	def	definite article (also, the number and gender should be added for Romance)
miss	lexical	verb			
anything	lexical	NPI			
fixable	lexical	adjective			
even	lexical	adverb			
go	lexical	verb			
with	lexical	preposition			
enim	grammatical	particle_semantics			enimitive (Panov) - uncontroversial information
meaning	lexical	verb			
dear	lexical	adjective			
get	lexical	verb			
complaint	lexical	noun			
refuse	lexical	verb			
surely	lexical	adverb			
view	lexical	noun			
complicate	lexical	verb			
happen	lexical	verb			
forget	lexical	verb			
hard	lexical	adjective			
concern	lexical	verb			
God's	lexical	None	0	god.poss	combination
allow	lexical	verb			
woman	lexical	noun			
hear	lexical	verb			
so	lexical	pronoun			
there	lexical	adverb			
really	lexical	adverb			
such	lexical	pronoun			
mock	lexical	verb			
option	lexical	noun			
truth	lexical	noun			
art	grammatical	definiteness	0	indef	used in Turkish part of the table for bir (indef article)
fit	lexical	verb			
exclude	lexical	verb			
gledati	lexical	None	0	look	glosses should be in English
theme	lexical	noun			
scary	lexical	adjective			
suppose	lexical	verb			
take	lexical	verb			
every	lexical	quantor			
devil	lexical	noun			
today	lexical	adverb			
fun	lexical	noun			
recieve	lexical	verb			
great	lexical	adjective			
pleasure	lexical	noun			
stroke	lexical	noun			
thing	lexical	noun			
possib	grammatical	None	1		modal possibility
rather	lexical	adverb			
surprising	lexical	adjective			
genre	lexical	noun			
count	lexical	verb			
head	lexical	noun			
than	lexical	conjunction			
case	lexical	noun			
Gracious	lexical	None	0	gracious	duplicate
all	lexical	quantor			
they	lexical	pronoun	?	3.pl	
advice	lexical	noun			
everything	lexical	quantor			
that`s	grammatical	particle_semantics	0	deix.part	deix.part seems suitable
hope	lexical	verb			
link	lexical	noun	0	connection	duplicate
always	lexical	quantor			
ever	lexical	NPI			
shame	lexical	noun			
surprise	lexical	noun			
grind	lexical	verb			
yours	lexical	pronoun	0	your	
look	lexical	verb			
devil2	lexical	noun			
fool	lexical	noun			
serious	lexical	adjective			
not	lexical	None	0	neg	
burn	lexical	verb			
fall	lexical	verb			
use	lexical	verb			
your	lexical	pronoun	?	2.sg.poss	
necessary	lexical	adjective			
probably	lexical	adverb			
too	lexical	adverb			
relax	lexical	verb			
turn	lexical	noun			
funny	lexical	adjective			
naturally	lexical	adverb			
accept	lexical	verb			
lord	lexical	noun			
stupid	lexical	adjective			
empty	lexical	adjective			
from	lexical	preposition			
tongue	lexical	noun			
beat	lexical	verb			
life	lexical	noun			
much	lexical	quantifier	1		
famous	lexical	adjective			
saint	lexical	adjective			
more	lexical	quantifier	0	much.cmpr	
other	lexical	adjective			
none	lexical	quantor			
may	lexical	verb			
hand	lexical	noun			
obstacle	lexical	noun			
lie	lexical	verb			
at_all	lexical	NPI			
sorry	lexical	routine			
spit	lexical	verb			
ask	lexical	verb			
try	lexical	verb			
you	lexical	pronoun	?	2.sg	
can	lexical	verb			
thought	lexical	noun			
bosh	lexical	noun			
pity	lexical	noun			
if_only	grammatical	mood	0	opt	better described with a grammatical gloss
very	lexical	quantifier			
let's	grammatical	None	0	hort	better a grammatical gloss
light	lexical	noun			
protest	lexical	verb			
what	lexical	interrogative			
here	lexical	adverb			
soon	lexical	adverb			
lot	lexical	quantifier	0	much	
conversation	lexical	noun			
speak	lexical	verb			
start	lexical	verb			
force	lexical	noun			
dire	lexical	None	0	say	wrong language
thank_you	lexical	routine			
obviously	lexical	adverb			
say	lexical	verb			
although	lexical	conjunction			
alright	lexical	adjective	1		
unlikely	lexical	adverb			
absolutely	lexical	adverb			
yet	lexical	adverb			
resentment	lexical	noun			
come	lexical	verb			
precisely	lexical	adverb			
occasion	lexical	noun			
when	lexical	interrogative			
money	lexical	noun			
save	lexical	verb			
completely	lexical	adverb			
simple	lexical	adjective			
please	lexical	routine			
soul	lexical	noun			
have	lexical	verb			
that's	grammatical	particle_semantics	0	deix.part	deix.part seems suitable
connection	lexical	noun			
drive	lexical	verb			
news	lexical	noun			
believe	lexical	verb			
god	lexical	noun			
chew	lexical	verb			
incident	lexical	noun			
crazy	lexical	adjective			
nonsense	lexical	noun			
real	lexical	adjective			
throw	lexical	verb			
seriously	lexical	adverb			
pray	lexical	verb			
nothing	lexical	quantor			
laugh	lexical	verb			
smear	lexical	verb			
jibberish	lexical	noun			
business	lexical	noun			
measure	lexical	noun			
indeed	lexical	adverb			
issue	lexical	noun			
person	lexical	noun			
near	lexical	adjective			
fear	lexical	verb			
idea	lexical	noun			
suddenly	lexical	adverb			
effect	lexical	noun			
short	lexical	adjective			
already	lexical	adverb			
enough	lexical	adverb			
truthful	lexical	adjective	0	true	
comprehension	lexical	noun			
doubt	lexical	noun			
defend	lexical	verb			
nobody	lexical	quantor			
topic	lexical	noun			
just	lexical	adverb			
see	lexical	verb			
appearance	lexical	noun			
God	lexical	None	0	god	duplicate
exact	lexical	adjective			
clear	lexical	adjective			
sure	lexical	adjective			
cow	lexical	noun			
brother	lexical	noun			
wave	lexical	verb			
course	lexical	noun			
demon	lexical	noun			
(only)	lexical	None	0	only	duplicate
mercy	lexical	noun			
imagine	lexical	verb			
obvious	lexical	adjective			
right	lexical	adjective			
generally	lexical	adverb			
mistake	lexical	noun			
tell	lexical	verb			
anyway	lexical	NPI			
finally	lexical	adverb			
blabber2	lexical	verb			
true	lexical	adjective			
my	lexical	pronoun	?		
hide	lexical	verb			
creature	lexical	noun			
adjr	grammatical	word_formation	1		adjectivizer
fact	lexical	noun			
thank	lexical	verb			
cut	lexical	verb			
agree	lexical	verb			
trouble	lexical	noun			
arrive	lexical	verb			
exactly2	lexical	adverb			
he	lexical	pronoun	?	3.sg.m	
two	lexical	numeral			
without	lexical	preposition			
hello	lexical	routine			
question	lexical	noun			
extraordinary	lexical	adjective			
mind	lexical	noun			
tale	lexical	noun			
find	lexical	verb			
value	lexical	noun			
assume	lexical	verb			
inconspicuous	lexical	adjective			
few	lexical	quantifier			
come_out	lexical	verb			
hey	lexical	routine			
be	lexical	verb			
special	lexical	adjective			
gledati	lexical	None	0	look	glosses should be in English
want	lexical	verb			
cost	lexical	verb	0	be_worth	
know	lexical	verb			
that	lexical	pronoun	?	one_of_grammatical_glosses: comp or dem.dist	
possibly	lexical	adverb			
only	lexical	adverb			
similar	lexical	adjective			
new	lexical	adjective			
baptized	lexical	verb	0	baptize.ptcp	combination
dream	lexical	verb			
invent	lexical	verb			
point	lexical	noun			
another	lexical	adjective			
kind	lexical	adjective			
way	lexical	noun	?		not exactly 'way'. Maybe use uderscores instead of dots in things like "in.other.way"?
blabber1	lexical	verb			
a	grammatical	definiteness	0	indef	articles shouldn't be translated with lexemes
hort	grammatical	mood	1		hortative
be_worth	lexical	verb	2		
importance	lexical	noun			
care	lexical	verb			
screw	lexical	verb			
touch	lexical	verb			
compliment	lexical	noun			
gracious	lexical	adjective			
god's	lexical	None	0	god.poss	combination
never	lexical	NPI			
one	lexical	numeral			
1sg	grammatical	person_number	0	1.sg	combination
to	lexical	preposition			
under	lexical	preposition			
by	lexical	preposition			
on	lexical	preposition			
for	lexical	preposition			
of	lexical	preposition			
at	lexical	preposition			
in	lexical	preposition			
against	lexical	preposition			
I	lexical	pronoun	?		
we	lexical	pronoun	?	1.pl	
it	lexical	pronoun	?	3.sg.n	
me	lexical	pronoun	0	I	
i	lexical	pronoun	?		
she	lexical	pronoun	?	3.sg.f	
cont	grammatical	tense	1		continuos
av	grammatical	verb_form	1		
arch	other	None	1		archaic
reduc	other	None	1		reduction
red	other	None	0	reduc	duplication
reduc	other	None	0	reduc	duplication
1	grammatical	person	1		first person
2	grammatical	person	1		second person
3	grammatical	person	1		third person
prtv	grammatical	case	1		partitive
